Title,Speaker,Scripture,Date_Dirty,Date,YouTube URL,ID,Sort ID,Spotify URL
What's the Deal With Deacons?: Responsibilities,Ryan King,1 Timothy 3:8-13,Sun Jun 20 2021 00:00:00 GMT+0100 (British Summer Time),20 June 2021,,5DupZhCFSDs,198,
Your Kingdom Come,Charles Efedua,Matthew 6:9-13,Sun Jun 13 2021 00:00:00 GMT+0100 (British Summer Time),13 June 2021,,ldrRHMLwIJc,197,
What's the Deal With Deacons?: Representatives,Ryan King,"Acts 6:8-10, Acts 8:1-8 & Romans 16:1-2",Sun Jun 13 2021 00:00:00 GMT+0100 (British Summer Time),13 June 2021,,j9CiDkMTj3M,196,
Hallowed Be Your Name,Charles Efedua,Matthew 6:9-13,Sun Jun 06 2021 00:00:00 GMT+0100 (British Summer Time),06 June 2021,,4UF8lOsnLY4,195,
What's the Deal With Deacons?: Roots,Ryan King,Acts 6:1-7,Sun Jun 06 2021 00:00:00 GMT+0100 (British Summer Time),06 June 2021,,8NdMfAOhIgE,194,
What Baptism Shows,Ryan King,Colossians 2:1-15,Sun May 30 2021 00:00:00 GMT+0100 (British Summer Time),30 May 2021,,ZF4dfLYVziY,193,
The Throne Room of God,Regan King,Revelation 4,Sun May 23 2021 00:00:00 GMT+0100 (British Summer Time),23 May 2021,,nSCblY4IpWo,192,
A Pattern of Prayer,Charles Efedua,Matthew 6:9-13,Sun May 23 2021 00:00:00 GMT+0100 (British Summer Time),23 May 2021,,H1EYUH_vbhM,191,
The Work of the Holy Spirit,Charles Efedua,Acts 19:1-10,Sun May 16 2021 00:00:00 GMT+0100 (British Summer Time),16 May 2021,,HnzTkaMIXw8,190,
The Lord Will Be King,Ryan King,Zechariah 14,Sun May 16 2021 00:00:00 GMT+0100 (British Summer Time),16 May 2021,,Ic6tELZXDCM,189,
Praying Without Pretense,Charles Efedua,Matthew 6:5-13,Sun May 09 2021 00:00:00 GMT+0100 (British Summer Time),09 May 2021,,PR9LK1LBvxw,188,
The Good Shepherd,Ryan King,Zechariah 13:7-9,Sun May 09 2021 00:00:00 GMT+0100 (British Summer Time),09 May 2021,,KoG25it5alI,187,
Faith and Politics,Ryan King,Jeremiah 9:4-9,Sun May 02 2021 00:00:00 GMT+0100 (British Summer Time),02 May 2021,,cX7IJyskLZc,186,
"False Prophets Can't Save You, They Need Saving!",Ryan King,Zechariah 13:1-6,Sun May 02 2021 00:00:00 GMT+0100 (British Summer Time),02 May 2021,,lvsX1-hoYGU,185,
Paul's Final Words of Exhortation and Benediction,Charles Efedua,1 Thessalonians 5:16-28,Sun Apr 25 2021 00:00:00 GMT+0100 (British Summer Time),25 April 2021,,8vvK2Az8WrQ,184,
Why Might We Weep?: Godly Grief and Those Who Have It,Ryan King,Zechariah 12:10-14,Sun Apr 25 2021 00:00:00 GMT+0100 (British Summer Time),25 April 2021,,xx1W-GXMHr8,183,
Trials of Various Kinds,Ryan King,James 1:2-4,Sun Apr 18 2021 00:00:00 GMT+0100 (British Summer Time),18 April 2021,,fbAKjVCKMco,182,
He is Able,Ryan King,Zechariah 12:1-9,Sun Apr 18 2021 00:00:00 GMT+0100 (British Summer Time),18 April 2021,,_4MXayhUPmU,181,
